State/UTs,Number of DR-TB treatment initiation in 2022 -Rifampicin-resistant TB patients initiated on treatment (MDR/RR-TB),Percentage of  DR-TB treatment initiation in 2022 -Rifampicin-resistant TB patients initiated on treatment (MDR/RR-TB),Number of  DR-TB treatment initiation in 2022-Rifampicin-resistant TB patients initiated on treatment (MDR/RR-TB),Percentage of  of  DR-TB treatment initiation in 2022-Rifampicin-resistant TB patients initiated on treatment (MDR/RR-TB),Number of  DR-TB treatment initiation in 2022 -Rifampicin-resistant TB patients initiated on treatment (MDR/RR-TB), Percentage of DR-TB treatment initiation in 2022 -Rifampicin-resistant TB patients initiated on treatment (MDR/RR-TB),Number of  DR-TB treatment initiation in 2022 -Rifampicin-resistant TB patients initiated on treatment (MDR/RR-TB),Percentage of  DR-TB treatment initiation in 2022 -Rifampicin-resistant TB patients initiated on treatment (MDR/RR-TB),Number of  DR-TB treatment initiation in 2022 -Rifampicin-resistant TB patients initiated on treatment (MDR/RR-TB),Percentage of  DR-TB treatment initiation in 2022 -Rifampicin-resistant TB patients initiated on treatment (MDR/RR-TB),Number of  DR-TB treatment initiation in 2022 -H mono/poly DR-TB patients initiated on treatment (H mono/poly DR-TB),Percentage of  DR-TB treatment initiation in 2022 -H mono/poly DR-TB patients initiated on treatment (H mono/poly DR-TB),Number of  DR-TB treatment initiation in 2022 - H mono/poly DR-TB patients initiated on treatment (H mono/poly DR-TB),Percentage of  DR-TB treatment initiation in 2022 - H mono/poly DR-TB patients initiated on treatment (H mono/poly DR-TB),Number of  DR-TB treatment initiation in 2022 -H mono/poly DR-TB patients initiated on treatment (H mono/poly DR-TB),Percentage of  DR-TB treatment initiation in 2022 -H mono/poly DR-TB patients initiated on treatment (H mono/poly DR-TB)
Andaman & Nicobar Islands,0 ,NA,35 ,100,35 ,100,10 ,29,25 ,71,0 ,NA,4 ,100,4 ,100
Andhra Pradesh,80 ,93,1368 ,94,1448 ,94,1191 ,82,257 ,18,99 ,99,1166 ,97,1265 ,97
Arunachal Pradesh,0 ,NA,162 ,92,162 ,92,135 ,83,27 ,17,0 ,NA,24 ,96,24 ,96
Assam,44 ,86,729 ,94,773 ,94,656 ,85,117 ,15,4 ,100,136 ,96,140 ,97
Bihar,443 ,88,3364 ,85,3807 ,86,1962 ,52,1845 ,48,92 ,99,386 ,88,478 ,90
CHANDIGARH,0 ,0,66 ,90,66 ,89,29 ,44,37 ,56,0 ,NA,45 ,100,45 ,100
Chhattisgarh,38 ,88,379 ,93,417 ,93,340 ,82,77 ,18,7 ,100,215 ,96,222 ,96
Dadra and Nagar Haveli and Daman and Diu,0 ,NA,19 ,86,19 ,86,7 ,37,12 ,63,0 ,NA,4 ,100,4 ,100
Delhi,43 ,41,2583 ,87,2626 ,85,741 ,28,1885 ,72,12 ,92,1147 ,96,1159 ,96
Goa,0 ,NA,54 ,92,54 ,92,23 ,43,31 ,57,1 ,100,35 ,95,36 ,95
Gujarat,148 ,90,2514 ,96,2662 ,96,1345 ,51,1317 ,49,10 ,91,522 ,99,532 ,99
Haryana,102 ,78,1783 ,91,1885 ,90,1279 ,68,606 ,32,22 ,76,474 ,92,496 ,91
Himachal Pradesh,10 ,100,216 ,95,226 ,95,140 ,62,86 ,38,1 ,100,199 ,100,200 ,100
Jammu & Kashmir,1 ,100,157 ,92,158 ,92,92 ,58,66 ,42,1 ,100,69 ,97,70 ,97
Jharkhand,37 ,76,1064 ,89,1101 ,88,761 ,69,340 ,31,14 ,93,151 ,96,165 ,95
Karnataka,52 ,67,1556 ,93,1608 ,92,814 ,51,794 ,49,44 ,88,1429 ,98,1473 ,98
Kerala,9 ,64,260 ,97,269 ,95,197 ,73,72 ,27,14 ,88,226 ,97,240 ,96
Ladakh,1 ,100,3 ,100,4 ,100,4 ,100,0 ,0,0 ,NA,3 ,100,3 ,100
Lakshadweep,0 ,NA,1 ,100,1 ,100,1 ,100,0 ,0,0 ,NA,0 ,NA,0 ,NA
MADHYA PRADESH,270 ,90,2961 ,90,3231 ,90,2388 ,74,843 ,26,85 ,96,878 ,93,963 ,93
Maharashtra,881 ,81,9912 ,95,10793 ,93,2528 ,23,8265 ,77,256 ,92,1928 ,95,2184 ,95
Manipur,7 ,88,68 ,77,75 ,78,63 ,84,12 ,16,0 ,NA,4 ,100,4 ,100
Meghalaya,4 ,100,214 ,87,218 ,87,148 ,68,70 ,32,0 ,NA,67 ,99,67 ,99
Mizoram,1 ,100,105 ,94,106 ,94,55 ,52,51 ,48,0 ,NA,1 ,100,1 ,100
Nagaland,0 ,NA,94 ,98,94 ,98,72 ,77,22 ,23,0 ,NA,21 ,95,21 ,95
Odisha,10 ,77,522 ,94,532 ,94,358 ,67,174 ,33,2 ,100,124 ,96,126 ,96
Puducherry,0 ,NA,22 ,96,22 ,96,16 ,73,6 ,27,0 ,NA,35 ,100,35 ,100
Punjab,32 ,78,734 ,87,766 ,86,409 ,53,357 ,47,4 ,80,136 ,89,140 ,89
Rajasthan,215 ,85,3821 ,92,4036 ,91,2718 ,67,1318 ,33,18 ,86,386 ,93,404 ,92
Sikkim,13 ,100,181 ,94,194 ,95,103 ,53,91 ,47,0 ,NA,4 ,100,4 ,100
Tamil Nadu,50 ,72,1509 ,93,1559 ,92,1065 ,68,494 ,32,44 ,92,1348 ,97,1392 ,97
Telangana,142 ,85,1421 ,92,1563 ,91,1143 ,73,420 ,27,45 ,100,820 ,96,865 ,96
Tripura,0 ,NA,32 ,89,32 ,89,27 ,84,5 ,16,0 ,NA,25 ,100,25 ,100
Uttar Pradesh,704 ,83,13091 ,89,13795 ,89,8090 ,59,5705 ,41,62 ,98,1143 ,92,1205 ,93
Uttarakhand,22 ,79,550 ,93,572 ,93,160 ,28,412 ,72,4 ,67,162 ,98,166 ,97
West Bengal,57 ,77,2783 ,92,2840 ,92,1719 ,61,1121 ,39,18 ,90,1051 ,97,1069 ,97
INDIA,3416 ,82,54333 ,91,57749 ,91,30789 ,53,26960 ,47,859 ,94,14368 ,96,15227 ,95
